우에우에테낭고,#감성카페,"3,500",null,4.7
컵오브조,#제로페이,"3,500",맛,4.9
블리스플 마중점,#감성카페,0,맛,5.0
빈타이 카페 전북대점,#디저트,"4,500",맛,4.0
어느날의오후,#디저트카페,"3,500",맛,3.7
외할머니솜씨,#디저트카페,"4,000",맛,3.9
전망,#루프탑있는,"5,000",맛,3.5
그날의온도,#대형카페,"7,000",분위기,3.1
올드스터프,#로스팅전문,"3,500",null,3.5
차경,#전주앙버터모나카,"2,300",맛,4.8
나잇나잇,#감성카페,"4,000",분위기,3.9
빈타이 송천점,#디저트카페,"4,000",맛,4.1
그리고오늘,#건강음료,"2,500",null,3.6
백일몽,#감성카페,"4,000",맛,4.5
라스트위크,#제로페이,"6,000",맛,4.8
해달별커피,#감성카페,"4,000",친절,3.9
빈타이 효자점,#분위기좋은,"4,000",null,4.0
동영커피,#로스팅전문,"4,000",맛,4.6
디오차드,#갤러리카페,"6,000",null,3.3
브리꼴라주,#데이트코스,"4,800",맛,4.2
디오니카페,#대형카페,"4,500",분위기,4.3
교동다원,#전주,"6,000",null,4.6
스타벅스 전주덕진광장DT점,#카카오페이,"8,900",null,4.1
레터스프롬포지티브즈,#브런치카페,"6,500",null,2.7
행원,#고즈넉한,"4,000",맛,4.7
카페섬수,#데이트코스,"3,500",맛,4.6
로맨티움,#대형카페,"4,500",분위기,4.6
꽃가마,전체,"4,000",친절,4.8
스타벅스 전주경원점,#데이트코스,"8,900",친절,4.2
오유,#로스팅전문,"4,000",맛,4.3
밥스터 신시가지점,#감성카페,"5,000",null,2.5
리틀케이로스터리,#깔끔한,"3,800",null,4.5
오스스퀘어,#데이트코스,"6,000",맛,3.2
목련을부탁해,#빈티지분위기,"4,000",맛,4.1
일달라커피,#로스팅전문,"5,000",null,2.5
피플레이트,#브런치카페,"8,500",null,4.3
오스갤러리,#갤러리카페,"8,000",친절,2.9
두베카페,#북카페,"6,000",친절,2.9
카페라온,#대형카페,"6,000",맛,3.6
옥진,#디저트카페,"5,000",null,5.0
